,date,home_team,score,away_team
493,18-08-2023,Valencia,1 - 0,Las Palmas
494,27-08-2023,Valencia,1 - 2,Osasuna
495,02-09-2023,Alaves,1 - 0,Valencia
496,16-09-2023,Valencia,3 - 0,Ath Madrid
497,23-09-2023,Almeria,2 - 2,Valencia
498,27-09-2023,Valencia,0 - 1,Sociedad
499,01-10-2023,Betis,3 - 0,Valencia
500,07-10-2023,Mallorca,1 - 1,Valencia
501,23-10-2023,Valencia,2 - 0,Cadiz
502,29-10-2023,Ath Bilbao,2 - 2,Valencia
503,05-11-2023,Valencia,1 - 0,Granada
504,11-11-2023,Real Madrid,5 - 1,Valencia
505,25-11-2023,Valencia,0 - 0,Celta
506,02-12-2023,Girona,2 - 1,Valencia
507,08-12-2023,Getafe,1 - 0,Valencia
508,16-12-2023,Valencia,1 - 1,Barcelona
509,19-12-2023,Vallecano,0 - 1,Valencia
510,02-01-2024,Valencia,3 - 1,Villarreal
511,14-01-2024,Cadiz,1 - 4,Valencia
512,20-01-2024,Valencia,1 - 0,Ath Bilbao
513,28-01-2024,Ath Madrid,2 - 0,Valencia
514,03-02-2024,Valencia,2 - 1,Almeria
515,10-02-2024,Las Palmas,2 - 0,Valencia
516,17-02-2024,Valencia,0 - 0,Sevilla
517,02-03-2024,Valencia,2 - 2,Real Madrid
518,09-03-2024,Valencia,1 - 0,Getafe
519,11-08-2023,Almeria,0 - 2,Vallecano
520,21-08-2023,Granada,0 - 2,Vallecano
521,28-08-2023,Vallecano,0 - 7,Ath Madrid
522,02-09-2023,Betis,1 - 0,Vallecano
523,15-09-2023,Vallecano,2 - 0,Alaves
524,24-09-2023,Vallecano,1 - 1,Villarreal
525,27-09-2023,Cadiz,0 - 0,Vallecano
